asn,asn_name,country,max_bot,max_abuse,network_count
215770,TRANSNETBW-AS,DE,97.87234,0,1
395771,HGN-OT,CA,97.87234,0,2
394098,OFFSITEDATASYNC,US,97.87234,0,3
209082,SWLINES,GB,97.87234,0,3
211359,AS_BINTER_SISTEMAS,ES,97.87234,0,1
264396,Kepler Sistemas Ltda ME,BR,97.867804,0,2
21624,CYBERLYNK-PHX,US,97.865935,25,24
11049,DYN,US,97.865854,25,51
23331,EQT,US,97.857143,0,1
203376,MAILKIT,CZ,97.851153,0,2
206647,IRANVM,IR,97.849462,0,2
47828,VALITOR-AS,IS,97.849462,0,1
149811,FSPL-AS-AP FTP Solutions Pty Ltd,AU,97.849462,0,2
21276,XSG,"GE,NL",97.847044,0,4
200083,SUB6,GB,97.846333,25,13
15515,UNICREDIT-AS-VR-IT Via Alessandro Specchi 16,"AT,IT",97.845691,0,3
214124,INTRAHOST,"CY,NL",97.842762,25,37
56073,FIRSTFOCUS-AS-AP First Focus Pty Ltd,AU,97.832936,35,8
29134,IGNUM-AS Czech Republic,"CZ,SK",97.829146,35,134
216365,CLOUD_SOLUTIONS_2,RU,97.828784,25,52
22576,DATAPIPE-ASN2,US,97.826087,25,34
400061,IGNERO,US,97.826087,0,1
137250,AUSIP-AS-AP AUS-IP Services,AU,97.826087,0,1
394303,BIGSCOOTS,US,97.814935,25,73
50455,KA-SCHMERSAL-PI,DE,97.810219,0,20
215438,LEBEDEV-A-E,RU,97.807757,0,1
8520,DUNKEL,DE,97.802198,0,5
41801,DATAFON-ASN,TR,97.802198,0,1
8515,DATAFORCE-AS Internet Service Provider,RU,97.802198,25,32
202997,ASBANKINTER,ES,97.799408,0,5
59795,PERFGRID,NL,97.798408,0,5
153576,IDNIC-JLSS-ID PT JARINGAN LINTAS SELATAN SOLUSINDO,ID,97.796143,0,1
265022,VIP RIO TELECOMUNICACOES LTDA - EPP,BR,97.794118,25,28
149098,HATANGSO-VN VIETNAM DIGITAL INFRASTRUCTURE JOINT STOCK COMPANY,VN,97.791519,0,2
40976,WW-INFORMATIK,DE,97.785978,0,4
199419,LIMONHOST,TR,97.785488,25,12
137753,JD Beijing Jingdong Shangke Information Technology Co. Ltd.,"CN,HK,NL",97.784216,25,17
201584,SUPERPAY,TR,97.783934,0,2
214528,RASVIUS,TR,97.780959,0,1
35779,MCLOUD-AS,RS,97.780284,25,32
214961,STELLARGROUPSAS,FR,97.778926,25,1
25593,LINKBYNET-AS,"CA,FR,US",97.777778,0,12
60544,RBS,RU,97.777778,0,2
54914,AVERYDENNISON-AS,US,97.777778,0,1
204603,LOWPINGS-DIGITAL-SERVICES LowPings.Ro,"DE,US",97.777778,0,2
204515,CRANS,FR,97.777778,0,2
42264,ITFUSION-AS,RO,97.777778,0,1
395730,TELCO-GTM,US,97.777778,0,2
19186,GMCHOSTING-01,US,97.770376,0,3
39841,NETGSM,TR,97.756171,25,10
23516,CIRRUS-SEVEN-INC,US,97.752809,0,2
203814,GIDEV,SE,97.752809,0,1
150172,STSB-AS-AP Serverfreak Technologies Sdn Bhd,MY,97.748652,0,7
202468,ABRARVAN-AS AbrArvan CDN and IaaS,"IR,TR",97.747956,50,483
210457,KYONIX,"DE,FI,US",97.746875,50,15
215599,ZKILLU,FR,97.741876,0,4
400008,ZOOT,US,97.740113,0,1
37235,MimecastSA,ZA,97.735849,25,26
134989,"LNCSC-AS-AP Kongtavanh Keodouangsinh ta LAO NET COMMUNICATION SOLE CO., LTD",HK,97.735849,0,1
200805,MELITACABLE,MT,97.734621,25,16
51675,WEBDEV-AS,PL,97.73399,0,2
30148,SUCURI-SEC,"CA,US",97.732992,50,25
198492,ISBB_AS,IL,97.727273,0,1
138091,IDNIC-PAJAKKU-AS-ID PT Mitra Pajakku,ID,97.727273,0,2
204193,PRAGMA,GB,97.727273,0,2
54163,AHOSTING,US,97.724962,35,43
54312,ROCKETFUEL,US,97.724922,0,6
136012,TMFB-AS-AP Telenor Microfinance Bank Limited,PK,97.718383,0,1
396176,NADCORP-AS1,US,97.717391,0,3
204075,SYMSOFT,SE,97.714286,0,1
59779,IXOLIT-AS,AT,97.710623,0,5
49801,SOTOON-CLOUD-INFRASTRUCTURE,"IR,NL",97.706422,0,6
132415,"JUSTDIAL-AS-IN Palm Court Bldg M, 501B, 5th Floor, New Link Road",IN,97.69821,0,2
51586,SERVERZONE,CZ,97.695853,0,4
210459,FCBK,KZ,97.695167,0,2
43137,ATC_LLC-,UA,97.692741,0,1
54218,BERENET,"DE,FR,US",97.692308,0,5
56059,WSS-HK Website Solution Limited,HK,97.689769,25,12
199377,M-PLUS,RU,97.685185,0,1
201057,MULTIM,FI,97.683398,25,15
200669,SEAT-AS,ES,97.680891,0,1
5651,GMLL-AS,US,97.674419,0,2
396458,CMM-ATL,US,97.674419,0,1
49421,LINUXLTD,BG,97.674419,0,2
34601,VIEWPOINT,RO,97.674419,0,2
58562,NCS-MNS-SG 5 Ang Mo Kio Street 62,SG,97.674419,0,1
133984,NCDEX-AS-IN National Commodity and Derivatives Exchange Limited,IN,97.674419,0,1
